Year,Month,TotalRainfall,MostRainfallInDay,RainDays
1983.00,12.00,150.50,29.60,20.00
1984.00,1.00,194.00,21.80,25.00
1984.00,2.00,85.80,17.80,15.00
1984.00,3.00,60.70,28.70,13.00
1984.00,4.00,53.10,13.20,12.00
1984.00,5.00,43.40,14.70,8.00
1984.00,6.00,47.30,16.00,8.00
1984.00,7.00,46.30,17.50,10.00
1984.00,8.00,59.00,24.40,14.00
1984.00,9.00,88.60,19.00,19.00
1984.00,10.00,123.50,19.40,22.00
1984.00,11.00,187.10,35.40,20.00
1984.00,12.00,99.50,11.40,25.00
1985.00,1.00,102.00,32.60,15.00
1985.00,2.00,123.40,29.60,19.00
1985.00,3.00,115.20,23.90,18.00
1985.00,4.00,66.30,14.10,15.00
1985.00,5.00,53.70,10.70,15.00
1985.00,6.00,101.30,33.70,17.00
1985.00,7.00,50.40,13.90,18.00
1985.00,8.00,177.60,23.00,26.00
1985.00,9.00,80.30,22.90,20.00
1985.00,10.00,84.60,14.20,12.00
1985.00,11.00,99.10,23.90,13.00
1985.00,12.00,180.60,27.10,24.00
1986.00,1.00,105.00,20.30,24.00
1986.00,2.00,5.60,2.70,7.00
1986.00,3.00,115.50,14.00,24.00
1986.00,4.00,40.80,7.70,16.00
1986.00,5.00,142.60,26.90,27.00
1986.00,6.00,74.80,23.90,17.00
1986.00,7.00,68.50,20.00,18.00
1986.00,8.00,226.90,64.80,18.00
1986.00,9.00,4.90,1.40,7.00
1986.00,10.00,91.80,10.70,20.00
1986.00,11.00,147.20,24.10,27.00
1986.00,12.00,221.90,28.90,26.00
1987.00,1.00,78.00,25.50,14.00
1987.00,2.00,129.30,30.70,15.00
1987.00,3.00,129.30,29.80,21.00
1987.00,4.00,98.80,27.70,19.00
1987.00,5.00,24.50,8.60,12.00
1987.00,6.00,122.50,27.70,19.00
1987.00,7.00,42.00,14.40,9.00
1987.00,8.00,88.10,37.00,16.00
1987.00,9.00,119.40,24.70,20.00
1987.00,10.00,147.40,21.30,22.00
1987.00,11.00,74.20,12.50,18.00
1987.00,12.00,184.70,29.80,22.00
1988.00,1.00,256.90,45.50,29.00
1988.00,2.00,80.30,15.80,17.00
1988.00,3.00,115.50,25.10,23.00
1988.00,4.00,67.60,15.60,14.00
1988.00,5.00,117.40,35.20,15.00
1988.00,6.00,59.90,38.30,9.00
1988.00,7.00,131.00,34.10,23.00
1988.00,8.00,116.70,24.70,20.00
1988.00,9.00,34.00,11.20,10.00
1988.00,10.00,238.00,57.20,22.00
1988.00,11.00,56.00,17.10,13.00
1988.00,12.00,65.20,20.60,14.00
1989.00,1.00,100.20,21.80,23.00
1989.00,2.00,118.10,19.50,22.00
1989.00,3.00,167.00,28.50,28.00
1989.00,4.00,60.80,12.50,16.00
1989.00,5.00,8.40,2.10,11.00
1989.00,6.00,62.60,30.70,12.00
1989.00,7.00,12.00,3.90,7.00
1989.00,8.00,101.80,33.40,15.00
1989.00,9.00,71.70,18.70,9.00
